SYMBOL,TOKEN,EXCHANGE,MARKET CAP,TIME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME
DOLLAR,20560,NSE,Small Cap,2024-08-30 14:15:00,503.95,508.20,502.70,504.95,31225
DOLLAR,20560,NSE,Small Cap,2024-08-29 13:15:00,503.30,512.15,502.00,504.00,62402
DOLLAR,20560,NSE,Small Cap,2024-08-28 12:15:00,516.10,516.45,502.00,503.95,63259
DOLLAR,20560,NSE,Small Cap,2024-08-27 11:15:00,520.90,521.95,512.05,516.10,109149
DOLLAR,20560,NSE,Small Cap,2024-08-26 10:15:00,520.95,528.00,516.15,520.25,66255
DOLLAR,20560,NSE,Small Cap,2024-08-23 13:30:00,530.00,531.40,519.40,520.95,58307
DOLLAR,20560,NSE,Small Cap,2024-08-22 12:30:00,515.00,542.00,511.15,529.10,244845
DOLLAR,20560,NSE,Small Cap,2024-08-21 11:30:00,525.20,526.35,514.80,515.50,124706
DOLLAR,20560,NSE,Small Cap,2024-08-20 10:30:00,497.40,526.95,496.95,526.00,236060
DOLLAR,20560,NSE,Small Cap,2024-08-19 09:30:00,489.30,498.25,488.80,496.80,93126
DOLLAR,20560,NSE,Small Cap,2024-08-16 12:45:00,487.95,489.75,480.00,489.75,24078
DOLLAR,20560,NSE,Small Cap,2024-08-14 10:45:00,471.50,489.95,467.15,487.95,122051
DOLLAR,20560,NSE,Small Cap,2024-08-13 09:45:00,495.15,495.90,470.00,471.50,259071
DOLLAR,20560,NSE,Small Cap,2024-08-12 15:00:00,509.60,510.00,492.45,494.55,99129
DOLLAR,20560,NSE,Small Cap,2024-08-09 12:00:00,518.00,518.20,507.65,509.60,79433
DOLLAR,20560,NSE,Small Cap,2024-08-08 11:00:00,518.80,521.50,513.10,518.05,67468
DOLLAR,20560,NSE,Small Cap,2024-08-07 10:00:00,531.30,531.30,515.15,518.55,136219
DOLLAR,20560,NSE,Small Cap,2024-08-06 15:15:00,526.00,540.00,524.80,530.55,73139
DOLLAR,20560,NSE,Small Cap,2024-08-05 14:15:00,492.90,539.00,488.00,525.85,474165
DOLLAR,20560,NSE,Small Cap,2024-08-02 11:15:00,508.60,511.90,484.05,492.90,122414
DOLLAR,20560,NSE,Small Cap,2024-08-01 10:15:00,513.40,518.00,500.25,508.15,87852
DOLLAR,20560,NSE,Small Cap,2024-07-31 09:15:00,512.05,517.85,509.55,513.40,81971
DOLLAR,20560,NSE,Small Cap,2024-07-30 14:30:00,513.30,515.00,509.55,515.00,27982
DOLLAR,20560,NSE,Small Cap,2024-07-29 13:30:00,515.55,520.15,509.50,513.20,239248
DOLLAR,20560,NSE,Small Cap,2024-07-26 10:30:00,516.00,527.95,503.35,515.55,701949
DOLLAR,20560,NSE,Small Cap,2024-07-25 09:30:00,532.00,532.00,515.20,515.95,117840
DOLLAR,20560,NSE,Small Cap,2024-07-24 14:45:00,535.00,537.15,528.60,532.30,28819
DOLLAR,20560,NSE,Small Cap,2024-07-23 13:45:00,511.75,537.45,510.25,535.25,116419
DOLLAR,20560,NSE,Small Cap,2024-07-22 12:45:00,517.50,528.95,500.25,512.85,137546
DOLLAR,20560,NSE,Small Cap,2024-07-19 09:45:00,515.45,522.40,507.60,517.50,142632
DOLLAR,20560,NSE,Small Cap,2024-07-18 15:00:00,518.25,520.40,511.05,513.55,28457
DOLLAR,20560,NSE,Small Cap,2024-07-16 13:00:00,534.90,535.10,517.35,518.00,61179
DOLLAR,20560,NSE,Small Cap,2024-07-15 12:00:00,521.35,537.90,521.35,534.90,146487
DOLLAR,20560,NSE,Small Cap,2024-07-12 15:15:00,519.95,525.20,513.00,521.35,49201
DOLLAR,20560,NSE,Small Cap,2024-07-11 14:15:00,521.25,522.40,512.50,520.00,80572
DOLLAR,20560,NSE,Small Cap,2024-07-10 13:15:00,516.70,525.95,513.80,521.00,65448
DOLLAR,20560,NSE,Small Cap,2024-07-09 12:15:00,532.85,537.45,514.95,516.70,138679
DOLLAR,20560,NSE,Small Cap,2024-07-08 11:15:00,536.65,540.80,529.50,533.25,84275
DOLLAR,20560,NSE,Small Cap,2024-07-05 14:30:00,544.50,546.90,533.00,536.65,44401
DOLLAR,20560,NSE,Small Cap,2024-07-04 13:30:00,528.95,547.75,524.00,544.15,147735
DOLLAR,20560,NSE,Small Cap,2024-07-03 12:30:00,541.00,542.25,526.25,528.95,134363
DOLLAR,20560,NSE,Small Cap,2024-07-02 11:30:00,548.70,548.75,531.95,541.00,110798
DOLLAR,20560,NSE,Small Cap,2024-07-01 10:30:00,538.95,553.90,535.70,548.45,102598
GENSOL,17010,NSE,Small Cap,2024-12-31 12:15:00,760.20,765.00,755.00,762.00,50026
GENSOL,17010,NSE,Small Cap,2024-12-30 11:15:00,764.50,766.95,746.00,760.20,180058
GENSOL,17010,NSE,Small Cap,2024-12-27 14:30:00,763.15,771.10,750.05,763.00,270119
